,source,target,value,color_nodes,label
0,0,6,0.09440188415016926,aliceblue,NCD death probability
1,1,6,-0.027075860705662428,antiquewhite,Life span
2,2,6,-0.23228366848395374,aqua,High Blood Glucose
3,3,6,0.3735710222389582,aquamarine,High Blood Pressure
4,4,6,0.44127940203987515,azure,High Cholesterol
5,5,6,-0.01968555307002443,beige,Overweight
6,0,7,0.1572033542465439,blueviolet,salt
7,1,7,-0.23979664325001304,brown,spice
8,2,7,0.27825257982903423,dimgrey,vinegar
9,3,7,-0.2294467053122189,dodgerblue,ginger
10,4,7,-0.2939213172210977,firebrick,sesame
11,5,7,0.19202001905085284,floralwhite,paprika
12,0,8,-0.1882202563283215,,
13,1,8,0.24951488844329428,,
14,2,8,-0.15325066464237402,,
15,3,8,0.08952175917898003,,
16,4,8,-0.005189864732289667,,
17,5,8,-0.6419802361300427,,
18,0,9,-0.13138622944793477,,
19,1,9,0.10606957795455818,,
20,2,9,0.04779576357365527,,
21,3,9,-0.2256052224766781,,
22,4,9,-0.1146452316001486,,
23,5,9,-0.45750915906422135,,
24,0,10,-0.2187166385595009,,
25,1,10,0.23373383841348738,,
26,2,10,-0.012022494056427174,,
27,3,10,0.018340909228227252,,
28,4,10,-0.048477358685709813,,
29,5,10,-0.6688654561688793,,
30,0,11,0.37252418834198214,,
31,1,11,-0.2435064379669323,,
32,2,11,0.23539570535702692,,
33,3,11,0.10761081388220124,,
34,4,11,-0.14049463466514717,,
35,5,11,0.10991950643975819,,
